"Recipient info container not found","Recipient info container not found"
"Recipient's Email (optional):","Recipient's Email (optional):"
"Recipient's Email:","דואר אלקטרוני של מקבל השובר:"
"Recipient's Mailing Address:","Recipient's Mailing Address:"
"Recipient's Name:","שם מקבל השובר:"
"Recipient's Postal (optional):","Recipient's Postal (optional):"
"Recipient's email address","דואר אלקטרוני של מקבל השובר"
"Recipient's name","שם מקבל השובר:"
"Recipient's Postal","Recipient's Postal"
"Redeem gift card if you have one.","אם ברשותך שובר מתנה ניתן לממש אותו כעת."
"Refund","Refund"
"Regular","Regular"
"Remove","בטל מימוש"
"Reports","Reports"
"Requested a printed copy","Requested a printed copy"
"Reset","Reset"
"Retrieve certificates","Retrieve certificates"
"Retrieve Gift Certificates by code","Retrieve Gift Certificates by code"
"Save Gift Certificate","Save Gift Certificate"
"Save PDF Settings","Save PDF Settings"
"Save PDF Template","Save PDF Template"
"Save Settings","Save Settings"
"Save and Continue Edit","Save and Continue Edit"
"Save and Import","Save and Import"
"Save and Send Gift Certificate","Save and Send Gift Certificate"
"Schedule sending on","Schedule sending on"
"Schedule sending on:","Schedule sending on:"
"Select Amount","בחר את סכום השובר"
"Select Amount:","בחר את סכום השובר:"
"Send On","Send On"
"Send emails","Send emails"
"Send gift certificate electronically","Send gift certificate electronically"
"Send new GC confirmation","Send new GC confirmation"
"Send printed copy to myself","Send printed copy to myself"
"Send this gift certificate(s)","Send this gift certificate(s)"
"Sender Address","Sender Address"
"Sender Email:","דואר אלקטרוני של מעניק השובר:"
"Sender Name:","שם מעניק השובר"
"Sender name:", "שם מעניק השובר"
"Sender's Mailing Address:","Sender's Mailing Address:"
"Sender’s Email Address:","Sender’s Email Address:"
"Settings Units","Settings Units"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Show Report","Show Report"
"Status","Status"
"Store View","Store View"
"Subscribe for extension update notifications","Subscribe for extension update notifications"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Subtotal","Subtotal"
"Supplied amount is invalid.","Supplied amount is invalid."
"Supplied recipient data is invalid.","Supplied recipient data is invalid."
